protein,human,mouse,zebrafish,c.elegans,drosophila,ciliate,yeast,methanocaldococcus,thermococcus,e.coli,tuberculosis
H2A,1.95e-88,4.1e-87,4.7699999999999995e-82,1e-65,4.3699999999999996e-68,1.02e-56,6.99e-63,0.000387,0.003,1.7,0.43
H2B,2.52e-88,1.76e-88,9.04e-83,6.53e-66,2.82e-60,4.5700000000000003e-51,5.4e-60,1.8,1.2,1.6,2.2
H3,2.19e-96,1.54e-96,1.7699999999999998e-95,4.46e-94,9.39e-96,8.41e-86,3.31e-87,0.034,0.057,0.9,4.6
H4,1.0899999999999999e-67,7.599999999999999e-68,1.1299999999999999e-68,6.15e-68,8.02e-68,1.96e-45,1.08e-52,8.22e-05,3.31e-05,1.3,0.069
KDM6A,0.0,0.0,0.0,1.7699999999999998e-128,0.0,3.33e-21,2.5600000000000003e-22,0.00028,2.7,0.000611,0.23
